Data;graos;cambio;juros;energia;inflacao
1995.01;35.98320543;1.681122176;1.642066864;10.78152467;0.92
1995.02;35.23684005;0.737152485;2.207889646;11.09008865;1.39
1995.03;33.81805374;-6.021325528;2.6682818;11.67132689;1.12
1995.04;34.48662778;-1.857619577;1.786585961;12.67274987;2.10
1995.05;34.83173656;3.83089652;1.538911074;12.38907649;0.58
1995.06;34.78468784;0.021831678;1.74066106;11.82815473;2.46
1995.07;35.35187806;0.556586271;1.621727237;11.27820988;1.82
1995.08;37.64390218;1.182982418;2.82206159;12.06984006;2.20
1995.09;37.17423161;0.450498766;2.307159125;12.35086841;-0.71
1995.1;38.18783642;-0.245595302;1.656641357;11.86417797;0.52
1995.11;39.69799646;1.434382359;1.389573273;12.29900528;1.20
1995.12;39.53662898;1.561840439;1.201260339;13.05015305;0.71
1996.01;41.17486291;0.924771405;1.22360371;13.05164574;1.73
1996.02;42.20496214;0.030886441;1.306542611;13.33411774;0.97
1996.03;42.31434426;-0.360230548;1.863477828;15.06512976;0.40
1996.04;43.78311866;0.95031505;0.799920995;16.57477304;0.32
1996.05;46.27077301;1.033459531;0.780478166;15.00435891;1.55
1996.06;44.46956243;0.546890824;0.780709556;14.53695868;1.02
1996.07;41.60796696;0.070507655;0.810997923;15.25320198;1.35
1996.08;42.6934769;-0.795168596;1.523297491;15.9259799;0.28
1996.09;45.59031035;-0.324675325;1.747378932;17.58087803;0.10
1996.1;44.75038487;-0.13232899;1.555333998;18.30896978;0.19
1996.11;43.94308125;-0.754255428;1.475279107;17.44678136;0.20
1996.12;42.91116277;0.472424771;1.323778242;18.84480694;0.73
1997.01;42.35529164;1.441275682;0.543585689;18.66535514;1.77
1997.02;45.15097961;1.158806933;1.164179104;16.66855669;0.43
1997.03;46.10402261;0.179300727;1.124266242;15.86928361;1.15
1997.04;46.90065696;0.576712737;0.773195876;14.91305798;0.68
1997.05;49.54055543;-0.939199209;1.165222587;15.94477913;0.21
1997.06;51.30724799;-0.159680639;1.064253034;14.7416112;0.74
1997.07;48.60920637;0.529788085;1.376970665;15.22957428;0.09
1997.08;51.48711794;0.427562892;1.610322064;15.59495115;0.09
1997.09;54.45671236;-1.089108911;1.52908255;15.54623321;0.48
1997.1;54.32099763;-0.740740741;1.4366956;16.78091947;0.37
1997.11;53.63258154;-0.131101251;2.86512928;15.98630605;0.64
1997.12;56.12190013;2.241744926;2.529124764;14.59967087;0.84
